Total result files found: 1000
Total files analyzed: 1000
Dominant Error State Check: 74.00% of files contain this error
Nondeterministic Confusion Check: 65.60% of files contain this error
Vacuous Confusion Check: 0.00% of files contain this error
Dominant Blocking State Check: 0.00% of files contain this error

Errors by FMMFSM State:
State Inactive - Dominant Error State Check: 2066 errors
State Inactive - Nondeterministic Confusion Check: 496 errors
State Active - Nondeterministic Confusion Check: 410 errors

Errors by Action:
Action NoGas - Dominant Error State Check: 950 errors
Action NoGas - Nondeterministic Confusion Check: 433 errors
Action Gas - Dominant Error State Check: 376 errors
Action Gas - Nondeterministic Confusion Check: 242 errors


Errors by Files:

Dominant Error State Check:
  computed/cruise_446/result/cruise_446PostProcessed_Result.json - FMMFSM State: Inactive, Action: None, Fuzzy Max State: {'Inactive': 0.49628418789597784}, Binary True State: {'Active': 0.34867844010000015}
  computed/cruise_689/result/cruise_689PostProcessed_Result.json - FMMFSM State: Inactive, Action: NoGas, Fuzzy Max State: {'Inactive': 0.5542016966875558}, Binary True State: {'Active': 0.5008166916661239}
  computed/cruise_689/result/cruise_689PostProcessed_Result.json - FMMFSM State: Inactive, Action: Gas, Fuzzy Max State: {'Inactive': 0.5765280198290867}, Binary True State: {'Active': 0.4507350224995115}
  computed/cruise_689/result/cruise_689PostProcessed_Result.json - FMMFSM State: Inactive, Action: Gas, Fuzzy Max State: {'Inactive': 0.5598397751140245}, Binary True State: {'Active': 0.47206358785308333}
  computed/cruise_689/result/cruise_689PostProcessed_Result.json - FMMFSM State: Inactive, Action: None, Fuzzy Max State: {'Inactive': 0.5484189257879903}, Binary True State: {'Active': 0.48702191143964824}
  computed/cruise_219/result/cruise_219PostProcessed_Result.json - FMMFSM State: Inactive, Action: None, Fuzzy Max State: {'Inactive': 0.4843784583193069}, Binary True State: {'Active': 0.4522703519822142}
  computed/cruise_642/result/cruise_642PostProcessed_Result.json - FMMFSM State: Inactive, Action: NoGas, Fuzzy Max State: {'Inactive': 0.5307042013368484}, Binary True State: {'Active': 0.5199950138747345}
  computed/cruise_642/result/cruise_642PostProcessed_Result.json - FMMFSM State: Inactive, Action: NoGas, Fuzzy Max State: {'Inactive': 0.5551073488705685}, Binary True State: {'Active': 0.467995512487261}
  computed/cruise_642/result/cruise_642PostProcessed_Result.json - FMMFSM State: Inactive, Action: NoGas, Fuzzy Max State: {'Inactive': 0.5759281252972819}, Binary True State: {'Active': 0.421195961238535}
  computed/cruise_642/result/cruise_642PostProcessed_Result.json - FMMFSM State: Inactive, Action: None, Fuzzy Max State: {'Inactive': 0.5937898613872458}, Binary True State: {'Active': 0.37907636511468157}
  computed/cruise_470/result/cruise_470PostProcessed_Result.json - FMMFSM State: Inactive, Action: NoGas, Fuzzy Max State: {'Inactive': 0.5463291474480714}, Binary True State: {'Active': 0.5201454700852608}
  computed/cruise_470/result/cruise_470PostProcessed_Result.json - FMMFSM State: Inactive, Action: None, Fuzzy Max State: {'Inactive': 0.5699266313345317}, Binary True State: {'Active': 0.46813092307673476}
  computed/cruise_828/result/cruise_828PostProcessed_Result.json - FMMFSM State: Inactive, Action: Gas, Fuzzy Max State: {'Inactive': 0.48550124228005886}, Binary True State: {'Active': 0.47414893795725055}
  computed/cruise_828/result/cruise_828PostProcessed_Result.json - FMMFSM State: Inactive, Action: Gas, Fuzzy Max State: {'Inactive': 0.48859048664404237}, Binary True State: {'Active': 0.4802121616811965}
  computed/cruise_828/result/cruise_828PostProcessed_Result.json - FMMFSM State: Inactive, Action: Gas, Fuzzy Max State: {'Inactive': 0.4917644487789594}, Binary True State: {'Active': 0.48545099691577354}
  computed/cruise_828/result/cruise_828PostProcessed_Result.json - FMMFSM State: Inactive, Action: None, Fuzzy Max State: {'Inactive': 0.4949082512530689}, Binary True State: {'Active': 0.4900282377294404}
